frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
10,1.0,[213.42211585855574 802.4265740801142 755.7990049414343 1285.9589192147182],[475.75872802734375 1175.7862548828125 617.862548828125 1226.64453125],0.6698504686355591,UR447KE,0.2595996086067831
37,1.0,[206.58612962637864 671.8641495223562 713.1157260310617 1118.1564024789043],[444.0253601074219 1010.4120483398438 586.780029296875 1062.3201904296875],0.6632325053215027,AA274KE,0.7332971986212741
46,1.0,[224.16469933134255 587.69537340886 711.348447258838 1013.6007872739863],[447.1615905761719 913.5524291992188 581.2592163085938 960.4261474609375],0.6625763773918152,VA427KE,0.32559765315297107
70,1.0,[257.1447813285032 435.4095352575179 650.2639414359201 796.8555646956336],[411.8414611816406 706.1412963867188 530.7664184570312 747.7216186523438],0.658115565776825,TA474KF,0.10435003844082924
